46.42.145.34 - - [13/Aug/2020:15:13:30 +0000] "GET /js/certification.js HTTP/1.1" 200 19358 "http://35.228.201.176/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:79.0) Gecko/20100101 Firefox/79.0" "-"
46.42.145.34 - - [13/Aug/2020:15:13:30 +0000] "GET /js/portfolio.js HTTP/1.1" 200 8396 "http://35.228.201.176/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:79.0) Gecko/20100101 Firefox/79.0" "-"
46.42.145.34 - - [13/Aug/2020:15:13:30 +0000] "GET /js/index.js HTTP/1.1" 200 3031 "http://35.228.201.176/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:79.0) Gecko/20100101 Firefox/79.0" "-"
46.42.145.34 - - [13/Aug/2020:15:13:30 +0000] "GET /default-skin/freecodecamp-vector-logo.svg HTTP/1.1" 200 8723 "http://35.228.201.176/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:79.0) Gecko/20100101 Firefox/79.0" "-"
46.42.145.34 - - [13/Aug/2020:15:13:30 +0000] "GET /img/polina.jpg HTTP/1.1" 200 9899 "http://35.228.201.176/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:79.0) Gecko/20100101 Firefox/79.0" "-"
46.42.145.34 - - [13/Aug/2020:15:13:30 +0000] "GET /img/Responsive-Web-Design.png HTTP/1.1" 200 36057 "http://35.228.201.176/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:79.0) Gecko/20100101 Firefox/79.0" "-"
46.42.145.34 - - [13/Aug/2020:15:13:30 +0000] "GET /img/Front-End-Libraries.png HTTP/1.1" 200 34799 "http://35.228.201.176/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:79.0) Gecko/20100101 Firefox/79.0" "-"
46.42.145.34 - - [13/Aug/2020:15:13:30 +0000] "GET /img/Data-Visualization.png HTTP/1.1" 200 35346 "http://35.228.201.176/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:79.0) Gecko/20100101 Firefox/79.0" "-"
46.42.145.34 - - [13/Aug/2020:15:13:30 +0000] "GET /img/APIs-and-Microservices.png HTTP/1.1" 200 36208 "http://35.228.201.176/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:79.0) Gecko/20100101 Firefox/79.0" "-"
46.42.145.34 - - [13/Aug/2020:15:13:30 +0000] "GET /img/JavaScript-Algorithms-and-Data-Structures.png HTTP/1.1" 200 39608 "http://35.228.201.176/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:79.0) Gecko/20100101 Firefox/79.0" "-"
